id;code unit;unit_id;kode kegiatan;kegiatan;cost_type;name;kode
;11.11;Prodi Teknik Sipil (S1);1.02.07;Dana praktikum;Overhead;Overhead;650.1.1.02.07.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.01;Ketersediaan rancangan praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.01;Ketersediaan rancangan praktikum;Honor;Honor/Upah;650.1.1.03.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.01;Ketersediaan rancangan praktikum;Sewa;Sewa;650.1.1.03.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.01;Ketersediaan rancangan praktikum;Outsource;Outsourcing;650.1.1.03.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.01;Ketersediaan rancangan praktikum;Overhead;Overhead;650.1.1.03.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.02;Jadual praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.02;Jadual praktikum;Honor;Honor/Upah;650.1.1.03.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.02;Jadual praktikum;Sewa;Sewa;650.1.1.03.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.02;Jadual praktikum;Outsource;Outsourcing;650.1.1.03.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.02;Jadual praktikum;Overhead;Overhead;650.1.1.03.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.03;Modul/alat praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.03;Modul/alat praktikum;Honor;Honor/Upah;650.1.1.03.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.03;Modul/alat praktikum;Sewa;Sewa;650.1.1.03.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.03;Modul/alat praktikum;Outsource;Outsourcing;650.1.1.03.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.03;Modul/alat praktikum;Overhead;Overhead;650.1.1.03.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.04;Bahan habis pakai;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.04;Bahan habis pakai;Honor;Honor/Upah;650.1.1.03.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.04;Bahan habis pakai;Sewa;Sewa;650.1.1.03.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.04;Bahan habis pakai;Outsource;Outsourcing;650.1.1.03.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.04;Bahan habis pakai;Overhead;Overhead;650.1.1.03.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.05;Dana praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.05.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.05;Dana praktikum;Honor;Honor/Upah;650.1.1.03.05.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.05;Dana praktikum;Sewa;Sewa;650.1.1.03.05.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.05;Dana praktikum;Outsource;Outsourcing;650.1.1.03.05.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.05;Dana praktikum;Overhead;Overhead;650.1.1.03.05.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.06;Daftar peserta praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.06.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.06;Daftar peserta praktikum;Honor;Honor/Upah;650.1.1.03.06.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.06;Daftar peserta praktikum;Sewa;Sewa;650.1.1.03.06.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.06;Daftar peserta praktikum;Outsource;Outsourcing;650.1.1.03.06.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.06;Daftar peserta praktikum;Overhead;Overhead;650.1.1.03.06.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.07;Asisten/instruktur;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.07.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.07;Asisten/instruktur;Honor;Honor/Upah;650.1.1.03.07.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.07;Asisten/instruktur;Sewa;Sewa;650.1.1.03.07.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.07;Asisten/instruktur;Outsource;Outsourcing;650.1.1.03.07.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.07;Asisten/instruktur;Overhead;Overhead;650.1.1.03.07.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.08;Penugasan asisten/instruktur;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.08.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.08;Penugasan asisten/instruktur;Honor;Honor/Upah;650.1.1.03.08.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.08;Penugasan asisten/instruktur;Sewa;Sewa;650.1.1.03.08.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.08;Penugasan asisten/instruktur;Outsource;Outsourcing;650.1.1.03.08.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.08;Penugasan asisten/instruktur;Overhead;Overhead;650.1.1.03.08.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.09;Nilai akhir praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.03.09.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.09;Nilai akhir praktikum;Honor;Honor/Upah;650.1.1.03.09.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.09;Nilai akhir praktikum;Sewa;Sewa;650.1.1.03.09.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.09;Nilai akhir praktikum;Outsource;Outsourcing;650.1.1.03.09.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.03.09;Nilai akhir praktikum;Overhead;Overhead;650.1.1.03.09.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.01;Jumlah kehadiran dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.1.04.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.01;Jumlah kehadiran dosen;Honor;Honor/Upah;650.1.1.04.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.01;Jumlah kehadiran dosen;Sewa;Sewa;650.1.1.04.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.01;Jumlah kehadiran dosen;Outsource;Outsourcing;650.1.1.04.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.01;Jumlah kehadiran dosen;Overhead;Overhead;650.1.1.04.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.02;Presensi mhs;Biaya Habis Pakai;Bahan habis pakai;650.1.1.04.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.02;Presensi mhs;Honor;Honor/Upah;650.1.1.04.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.02;Presensi mhs;Sewa;Sewa;650.1.1.04.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.02;Presensi mhs;Outsource;Outsourcing;650.1.1.04.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.02;Presensi mhs;Overhead;Overhead;650.1.1.04.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.03;Mahasiswa pindahan/melanjutkan;Biaya Habis Pakai;Bahan habis pakai;650.1.1.04.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.03;Mahasiswa pindahan/melanjutkan;Honor;Honor/Upah;650.1.1.04.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.03;Mahasiswa pindahan/melanjutkan;Sewa;Sewa;650.1.1.04.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.03;Mahasiswa pindahan/melanjutkan;Outsource;Outsourcing;650.1.1.04.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.04.03;Mahasiswa pindahan/melanjutkan;Overhead;Overhead;650.1.1.04.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.01;Jumlah kehadiran asisten/instruktur;Biaya Habis Pakai;Bahan habis pakai;650.1.1.05.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.01;Jumlah kehadiran asisten/instruktur;Honor;Honor/Upah;650.1.1.05.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.01;Jumlah kehadiran asisten/instruktur;Sewa;Sewa;650.1.1.05.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.01;Jumlah kehadiran asisten/instruktur;Outsource;Outsourcing;650.1.1.05.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.01;Jumlah kehadiran asisten/instruktur;Overhead;Overhead;650.1.1.05.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.02;Presensi mhs peserta praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.05.02.1.11.11
